offset_dec offset_hex byte_hex bits       field
       221 0x000000dd 1c       00011100 block.tx[0].vout[1].script_pubkey
       222 0x000000de 35       00110101 block.tx[0].vout[1].script_pubkey
       223 0x000000df 63       01100011 block.tx[0].vout[1].script_pubkey
       224 0x000000e0 91       10010001 block.tx[0].vout[1].script_pubkey
       225 0x000000e1 49       01001001 block.tx[0].vout[1].script_pubkey
       226 0x000000e2 db       11011011 block.tx[0].vout[1].script_pubkey
       227 0x000000e3 01       00000001 block.tx[0].vout[1].script_pubkey
       228 0x000000e4 82       10000010 block.tx[0].vout[1].script_pubkey
       229 0x000000e5 e6       11100110 block.tx[0].vout[1].script_pubkey
       230 0x000000e6 5c       01011100 block.tx[0].vout[1].script_pubkey
       231 0x000000e7 01       00000001 block.tx[0].vin[0].witness_count
       232 0x000000e8 20       00100000 block.tx[0].vin[0].witness[0].length
       233 0x000000e9 00       00000000 block.tx[0].vin[0].witness[0].data
       234 0x000000ea 00       00000000 block.tx[0].vin[0].witness[0].data
       235 0x000000eb 00       00000000 block.tx[0].vin[0].witness[0].data
       236 0x000000ec 00       00000000 block.tx[0].vin[0].witness[0].data
       237 0x000000ed 00       00000000 block.tx[0].vin[0].witness[0].data
       238 0x000000ee 00       00000000 block.tx[0].vin[0].witness[0].data
       239 0x000000ef 00       00000000 block.tx[0].vin[0].witness[0].data
       240 0x000000f0 00       00000000 block.tx[0].vin[0].witness[0].data
       241 0x000000f1 00       00000000 block.tx[0].vin[0].witness[0].data
       242 0x000000f2 00       00000000 block.tx[0].vin[0].witness[0].data
       243 0x000000f3 00       00000000 block.tx[0].vin[0].witness[0].data
       244 0x000000f4 00       00000000 block.tx[0].vin[0].witness[0].data
       245 0x000000f5 00       00000000 block.tx[0].vin[0].witness[0].data
       246 0x000000f6 00       00000000 block.tx[0].vin[0].witness[0].data
       247 0x000000f7 00       00000000 block.tx[0].vin[0].witness[0].data
       248 0x000000f8 00       00000000 block.tx[0].vin[0].witness[0].data
       249 0x000000f9 00       00000000 block.tx[0].vin[0].witness[0].data
       250 0x000000fa 00       00000000 block.tx[0].vin[0].witness[0].data
       251 0x000000fb 00       00000000 block.tx[0].vin[0].witness[0].data
       252 0x000000fc 00       00000000 block.tx[0].vin[0].witness[0].data
       253 0x000000fd 00       00000000 block.tx[0].vin[0].witness[0].data
       254 0x000000fe 00       00000000 block.tx[0].vin[0].witness[0].data
       255 0x000000ff 00       00000000 block.tx[0].vin[0].witness[0].data
       256 0x00000100 00       00000000 block.tx[0].vin[0].witness[0].data
       257 0x00000101 00       00000000 block.tx[0].vin[0].witness[0].data
       258 0x00000102 00       00000000 block.tx[0].vin[0].witness[0].data
       259 0x00000103 00       00000000 block.tx[0].vin[0].witness[0].data
       260 0x00000104 00       00000000 block.tx[0].vin[0].witness[0].data
       261 0x00000105 00       00000000 block.tx[0].vin[0].witness[0].data
       262 0x00000106 00       00000000 block.tx[0].vin[0].witness[0].data
       263 0x00000107 00       00000000 block.tx[0].vin[0].witness[0].data
       264 0x00000108 00       00000000 block.tx[0].vin[0].witness[0].data
       265 0x00000109 00       00000000 block.tx[0].locktime
       266 0x0000010a 00       00000000 block.tx[0].locktime
       267 0x0000010b 00       00000000 block.tx[0].locktime
       268 0x0000010c 00       00000000 block.tx[0].locktime
       269 0x0000010d 02       00000010 block.tx[1].version
       270 0x0000010e 00       00000000 block.tx[1].version
       271 0x0000010f 00       00000000 block.tx[1].version
       272 0x00000110 00       00000000 block.tx[1].version
       273 0x00000111 00       00000000 block.tx[1].marker
       274 0x00000112 01       00000001 block.tx[1].flag
       275 0x00000113 01       00000001 block.tx[1].input_count
       276 0x00000114 6a       01101010 block.tx[1].vin[0].prev_txid_le
       277 0x00000115 7a       01111010 block.tx[1].vin[0].prev_txid_le
       278 0x00000116 33       00110011 block.tx[1].vin[0].prev_txid_le
       279 0x00000117 5a       01011010 block.tx[1].vin[0].prev_txid_le
       280 0x00000118 0b       00001011 block.tx[1].vin[0].prev_txid_le
       281 0x00000119 2d       00101101 block.tx[1].vin[0].prev_txid_le
       282 0x0000011a ee       11101110 block.tx[1].vin[0].prev_txid_le
       283 0x0000011b 9d       10011101 block.tx[1].vin[0].prev_txid_le
       284 0x0000011c 13       00010011 block.tx[1].vin[0].prev_txid_le
       285 0x0000011d 78       01111000 block.tx[1].vin[0].prev_txid_le
       286 0x0000011e 75       01110101 block.tx[1].vin[0].prev_txid_le
       287 0x0000011f 8c       10001100 block.tx[1].vin[0].prev_txid_le
       288 0x00000120 ee       11101110 block.tx[1].vin[0].prev_txid_le
       289 0x00000121 e0       11100000 block.tx[1].vin[0].prev_txid_le
       290 0x00000122 2d       00101101 block.tx[1].vin[0].prev_txid_le
       291 0x00000123 2b       00101011 block.tx[1].vin[0].prev_txid_le
       292 0x00000124 ce       11001110 block.tx[1].vin[0].prev_txid_le
       293 0x00000125 55       01010101 block.tx[1].vin[0].prev_txid_le
       294 0x00000126 00       00000000 block.tx[1].vin[0].prev_txid_le
       295 0x00000127 99       10011001 block.tx[1].vin[0].prev_txid_le
       296 0x00000128 2a       00101010 block.tx[1].vin[0].prev_txid_le
       297 0x00000129 85       10000101 block.tx[1].vin[0].prev_txid_le
       298 0x0000012a 4b       01001011 block.tx[1].vin[0].prev_txid_le
       299 0x0000012b c8       11001000 block.tx[1].vin[0].prev_txid_le
       300 0x0000012c 67       01100111 block.tx[1].vin[0].prev_txid_le
       301 0x0000012d 3d       00111101 block.tx[1].vin[0].prev_txid_le
       302 0x0000012e b4       10110100 block.tx[1].vin[0].prev_txid_le
       303 0x0000012f e8       11101000 block.tx[1].vin[0].prev_txid_le
       304 0x00000130 94       10010100 block.tx[1].vin[0].prev_txid_le
       305 0x00000131 b3       10110011 block.tx[1].vin[0].prev_txid_le
       306 0x00000132 af       10101111 block.tx[1].vin[0].prev_txid_le
       307 0x00000133 97       10010111 block.tx[1].vin[0].prev_txid_le
       308 0x00000134 01       00000001 block.tx[1].vin[0].prev_vout
       309 0x00000135 00       00000000 block.tx[1].vin[0].prev_vout
       310 0x00000136 00       00000000 block.tx[1].vin[0].prev_vout
       311 0x00000137 00       00000000 block.tx[1].vin[0].prev_vout
       312 0x00000138 00       00000000 block.tx[1].vin[0].script_sig_length
       313 0x00000139 fd       11111101 block.tx[1].vin[0].sequence
       314 0x0000013a ff       11111111 block.tx[1].vin[0].sequence
       315 0x0000013b ff       11111111 block.tx[1].vin[0].sequence
       316 0x0000013c ff       11111111 block.tx[1].vin[0].sequence
       317 0x0000013d 02       00000010 block.tx[1].output_count
       318 0x0000013e 52       01010010 block.tx[1].vout[0].value_satoshi
       319 0x0000013f bf       10111111 block.tx[1].vout[0].value_satoshi
       320 0x00000140 01       00000001 block.tx[1].vout[0].value_satoshi
       321 0x00000141 00       00000000 block.tx[1].vout[0].value_satoshi
       322 0x00000142 00       00000000 block.tx[1].vout[0].value_satoshi
       323 0x00000143 00       00000000 block.tx[1].vout[0].value_satoshi
       324 0x00000144 00       00000000 block.tx[1].vout[0].value_satoshi
       325 0x00000145 00       00000000 block.tx[1].vout[0].value_satoshi
       326 0x00000146 16       00010110 block.tx[1].vout[0].script_pubkey_length
       327 0x00000147 00       00000000 block.tx[1].vout[0].script_pubkey
       328 0x00000148 14       00010100 block.tx[1].vout[0].script_pubkey
       329 0x00000149 c8       11001000 block.tx[1].vout[0].script_pubkey
       330 0x0000014a c4       11000100 block.tx[1].vout[0].script_pubkey
       331 0x0000014b 3f       00111111 block.tx[1].vout[0].script_pubkey
       332 0x0000014c 9b       10011011 block.tx[1].vout[0].script_pubkey
       333 0x0000014d 09       00001001 block.tx[1].vout[0].script_pubkey
       334 0x0000014e e2       11100010 block.tx[1].vout[0].script_pubkey
       335 0x0000014f aa       10101010 block.tx[1].vout[0].script_pubkey
       336 0x00000150 de       11011110 block.tx[1].vout[0].script_pubkey
       337 0x00000151 b3       10110011 block.tx[1].vout[0].script_pubkey
       338 0x00000152 fc       11111100 block.tx[1].vout[0].script_pubkey
       339 0x00000153 1d       00011101 block.tx[1].vout[0].script_pubkey
       340 0x00000154 20       00100000 block.tx[1].vout[0].script_pubkey
       341 0x00000155 0d       00001101 block.tx[1].vout[0].script_pubkey
       342 0x00000156 a0       10100000 block.tx[1].vout[0].script_pubkey
       343 0x00000157 42       01000010 block.tx[1].vout[0].script_pubkey
       344 0x00000158 44       01000100 block.tx[1].vout[0].script_pubkey
       345 0x00000159 3b       00111011 block.tx[1].vout[0].script_pubkey
       346 0x0000015a fd       11111101 block.tx[1].vout[0].script_pubkey
       347 0x0000015b 3b       00111011 block.tx[1].vout[0].script_pubkey
       348 0x0000015c 90       10010000 block.tx[1].vout[0].script_pubkey
       349 0x0000015d 0a       00001010 block.tx[1].vout[1].value_satoshi
       350 0x0000015e 3b       00111011 block.tx[1].vout[1].value_satoshi
       351 0x0000015f 04       00000100 block.tx[1].vout[1].value_satoshi
       352 0x00000160 00       00000000 block.tx[1].vout[1].value_satoshi
       353 0x00000161 00       00000000 block.tx[1].vout[1].value_satoshi
       354 0x00000162 00       00000000 block.tx[1].vout[1].value_satoshi
       355 0x00000163 00       00000000 block.tx[1].vout[1].value_satoshi
       356 0x00000164 00       00000000 block.tx[1].vout[1].value_satoshi
       357 0x00000165 16       00010110 block.tx[1].vout[1].script_pubkey_length
       358 0x00000166 00       00000000 block.tx[1].vout[1].script_pubkey
       359 0x00000167 14       00010100 block.tx[1].vout[1].script_pubkey
       360 0x00000168 26       00100110 block.tx[1].vout[1].script_pubkey
       361 0x00000169 03       00000011 block.tx[1].vout[1].script_pubkey
       362 0x0000016a bd       10111101 block.tx[1].vout[1].script_pubkey
       363 0x0000016b 81       10000001 block.tx[1].vout[1].script_pubkey
       364 0x0000016c 9e       10011110 block.tx[1].vout[1].script_pubkey
       365 0x0000016d cb       11001011 block.tx[1].vout[1].script_pubkey
       366 0x0000016e 0d       00001101 block.tx[1].vout[1].script_pubkey
       367 0x0000016f 0c       00001100 block.tx[1].vout[1].script_pubkey
       368 0x00000170 9a       10011010 block.tx[1].vout[1].script_pubkey
       369 0x00000171 d8       11011000 block.tx[1].vout[1].script_pubkey
       370 0x00000172 87       10000111 block.tx[1].vout[1].script_pubkey
       371 0x00000173 45       01000101 block.tx[1].vout[1].script_pubkey
