start,end_exclusive,length,field,wire_hex,interpreted_value
1791,1816,25,block.tx[5].vout[3].script_pubkey,76a9146ecae2f87ab39d71cc0423ae03f5ed53e82204c788ac,76a9146ecae2f87ab39d71cc0423ae03f5ed53e82204c788ac
1816,1820,4,block.tx[5].locktime,00000000,0
1820,1824,4,block.tx[6].version,01000000,1
1824,1825,1,block.tx[6].marker,00,0 (SegWit marker)
1825,1826,1,block.tx[6].flag,01,1 (witness present)
1826,1827,1,block.tx[6].input_count,01,1
1827,1859,32,block.tx[6].vin[0].prev_txid_le,249f3269709c4c6ffd830adbd68919ad8447cc87dd596f2df0ca706018275890,249f3269709c4c6ffd830adbd68919ad8447cc87dd596f2df0ca706018275890
1859,1863,4,block.tx[6].vin[0].prev_vout,03000000,3
1863,1864,1,block.tx[6].vin[0].script_sig_length,00,0
1864,1864,0,block.tx[6].vin[0].script_sig,,
1864,1868,4,block.tx[6].vin[0].sequence,ffffffff,4294967295
1868,1869,1,block.tx[6].output_count,04,4
1869,1877,8,block.tx[6].vout[0].value_satoshi,1027000000000000,10000
1877,1878,1,block.tx[6].vout[0].script_pubkey_length,16,22
1878,1900,22,block.tx[6].vout[0].script_pubkey,00149df09d177ab56fb2b5ee790c367a2deac0abf7b6,00149df09d177ab56fb2b5ee790c367a2deac0abf7b6
1900,1908,8,block.tx[6].vout[1].value_satoshi,1027000000000000,10000
1908,1909,1,block.tx[6].vout[1].script_pubkey_length,16,22
1909,1931,22,block.tx[6].vout[1].script_pubkey,00147b467d0a528da03560d37f90e7dc3cac8dacf836,00147b467d0a528da03560d37f90e7dc3cac8dacf836
1931,1939,8,block.tx[6].vout[2].value_satoshi,1027000000000000,10000
1939,1940,1,block.tx[6].vout[2].script_pubkey_length,16,22
1940,1962,22,block.tx[6].vout[2].script_pubkey,0014698d101a6675ae5362fe07dc2f6e72833f08f496,0014698d101a6675ae5362fe07dc2f6e72833f08f496
