offset_dec offset_hex byte_hex bits       field
       177 0x000000b1 65       01100101 tx.vin[0].witness[0].data
       178 0x000000b2 00       00000000 tx.vin[0].witness[0].data
       179 0x000000b3 75       01110101 tx.vin[0].witness[0].data
       180 0x000000b4 39       00111001 tx.vin[0].witness[0].data
       181 0x000000b5 18       00011000 tx.vin[0].witness[0].data
       182 0x000000b6 7d       01111101 tx.vin[0].witness[0].data
       183 0x000000b7 6a       01101010 tx.vin[0].witness[0].data
       184 0x000000b8 01       00000001 tx.vin[0].witness[0].data
       185 0x000000b9 21       00100001 tx.vin[0].witness[1].length
       186 0x000000ba 02       00000010 tx.vin[0].witness[1].data
       187 0x000000bb 7b       01111011 tx.vin[0].witness[1].data
       188 0x000000bc cb       11001011 tx.vin[0].witness[1].data
       189 0x000000bd 30       00110000 tx.vin[0].witness[1].data
       190 0x000000be 19       00011001 tx.vin[0].witness[1].data
       191 0x000000bf 6c       01101100 tx.vin[0].witness[1].data
       192 0x000000c0 0f       00001111 tx.vin[0].witness[1].data
       193 0x000000c1 fa       11111010 tx.vin[0].witness[1].data
       194 0x000000c2 ee       11101110 tx.vin[0].witness[1].data
       195 0x000000c3 49       01001001 tx.vin[0].witness[1].data
       196 0x000000c4 5d       01011101 tx.vin[0].witness[1].data
       197 0x000000c5 2c       00101100 tx.vin[0].witness[1].data
       198 0x000000c6 05       00000101 tx.vin[0].witness[1].data
       199 0x000000c7 4e       01001110 tx.vin[0].witness[1].data
       200 0x000000c8 1b       00011011 tx.vin[0].witness[1].data
       201 0x000000c9 f7       11110111 tx.vin[0].witness[1].data
       202 0x000000ca 48       01001000 tx.vin[0].witness[1].data
       203 0x000000cb 3b       00111011 tx.vin[0].witness[1].data
       204 0x000000cc fa       11111010 tx.vin[0].witness[1].data
       205 0x000000cd 47       01000111 tx.vin[0].witness[1].data
       206 0x000000ce 0c       00001100 tx.vin[0].witness[1].data
       207 0x000000cf 08       00001000 tx.vin[0].witness[1].data
       208 0x000000d0 de       11011110 tx.vin[0].witness[1].data
       209 0x000000d1 e1       11100001 tx.vin[0].witness[1].data
       210 0x000000d2 2c       00101100 tx.vin[0].witness[1].data
       211 0x000000d3 ef       11101111 tx.vin[0].witness[1].data
       212 0x000000d4 47       01000111 tx.vin[0].witness[1].data
       213 0x000000d5 d7       11010111 tx.vin[0].witness[1].data
       214 0x000000d6 29       00101001 tx.vin[0].witness[1].data
       215 0x000000d7 d5       11010101 tx.vin[0].witness[1].data
       216 0x000000d8 cb       11001011 tx.vin[0].witness[1].data
       217 0x000000d9 50       01010000 tx.vin[0].witness[1].data
       218 0x000000da b2       10110010 tx.vin[0].witness[1].data
       219 0x000000db 00       00000000 tx.locktime
       220 0x000000dc 00       00000000 tx.locktime
       221 0x000000dd 00       00000000 tx.locktime
       222 0x000000de 00       00000000 tx.locktime
