offset_dec offset_hex byte_hex bits       field
       174 0x000000ae a2       10100010 tx.vin[0].witness[0].data
       175 0x000000af ac       10101100 tx.vin[0].witness[0].data
       176 0x000000b0 85       10000101 tx.vin[0].witness[0].data
       177 0x000000b1 ef       11101111 tx.vin[0].witness[0].data
       178 0x000000b2 8a       10001010 tx.vin[0].witness[0].data
       179 0x000000b3 d2       11010010 tx.vin[0].witness[0].data
       180 0x000000b4 de       11011110 tx.vin[0].witness[0].data
       181 0x000000b5 2b       00101011 tx.vin[0].witness[0].data
       182 0x000000b6 89       10001001 tx.vin[0].witness[0].data
       183 0x000000b7 9b       10011011 tx.vin[0].witness[0].data
       184 0x000000b8 09       00001001 tx.vin[0].witness[0].data
       185 0x000000b9 b4       10110100 tx.vin[0].witness[0].data
       186 0x000000ba c1       11000001 tx.vin[0].witness[0].data
       187 0x000000bb 16       00010110 tx.vin[0].witness[0].data
       188 0x000000bc 1e       00011110 tx.vin[0].witness[0].data
       189 0x000000bd af       10101111 tx.vin[0].witness[0].data
       190 0x000000be 00       00000000 tx.vin[0].witness[0].data
       191 0x000000bf ef       11101111 tx.vin[0].witness[0].data
       192 0x000000c0 9c       10011100 tx.vin[0].witness[0].data
       193 0x000000c1 a6       10100110 tx.vin[0].witness[0].data
       194 0x000000c2 a5       10100101 tx.vin[0].witness[0].data
       195 0x000000c3 e3       11100011 tx.vin[0].witness[0].data
       196 0x000000c4 01       00000001 tx.vin[0].witness[0].data
       197 0x000000c5 21       00100001 tx.vin[0].witness[1].length
       198 0x000000c6 02       00000010 tx.vin[0].witness[1].data
       199 0x000000c7 e3       11100011 tx.vin[0].witness[1].data
       200 0x000000c8 80       10000000 tx.vin[0].witness[1].data
       201 0x000000c9 b7       10110111 tx.vin[0].witness[1].data
       202 0x000000ca cb       11001011 tx.vin[0].witness[1].data
       203 0x000000cb 12       00010010 tx.vin[0].witness[1].data
       204 0x000000cc fe       11111110 tx.vin[0].witness[1].data
       205 0x000000cd c0       11000000 tx.vin[0].witness[1].data
       206 0x000000ce c9       11001001 tx.vin[0].witness[1].data
       207 0x000000cf 1f       00011111 tx.vin[0].witness[1].data
       208 0x000000d0 5b       01011011 tx.vin[0].witness[1].data
       209 0x000000d1 ce       11001110 tx.vin[0].witness[1].data
       210 0x000000d2 a9       10101001 tx.vin[0].witness[1].data
       211 0x000000d3 15       00010101 tx.vin[0].witness[1].data
       212 0x000000d4 d9       11011001 tx.vin[0].witness[1].data
       213 0x000000d5 24       00100100 tx.vin[0].witness[1].data
       214 0x000000d6 65       01100101 tx.vin[0].witness[1].data
       215 0x000000d7 ca       11001010 tx.vin[0].witness[1].data
       216 0x000000d8 9d       10011101 tx.vin[0].witness[1].data
       217 0x000000d9 ac       10101100 tx.vin[0].witness[1].data
       218 0x000000da 34       00110100 tx.vin[0].witness[1].data
       219 0x000000db 90       10010000 tx.vin[0].witness[1].data
       220 0x000000dc c8       11001000 tx.vin[0].witness[1].data
       221 0x000000dd 81       10000001 tx.vin[0].witness[1].data
       222 0x000000de 44       01000100 tx.vin[0].witness[1].data
       223 0x000000df 3f       00111111 tx.vin[0].witness[1].data
       224 0x000000e0 b8       10111000 tx.vin[0].witness[1].data
       225 0x000000e1 0f       00001111 tx.vin[0].witness[1].data
       226 0x000000e2 97       10010111 tx.vin[0].witness[1].data
       227 0x000000e3 2e       00101110 tx.vin[0].witness[1].data
       228 0x000000e4 f7       11110111 tx.vin[0].witness[1].data
       229 0x000000e5 15       00010101 tx.vin[0].witness[1].data
       230 0x000000e6 9a       10011010 tx.vin[0].witness[1].data
       231 0x000000e7 00       00000000 tx.locktime
       232 0x000000e8 00       00000000 tx.locktime
       233 0x000000e9 00       00000000 tx.locktime
       234 0x000000ea 00       00000000 tx.locktime
